target_kind,target_id,name,roads,classes,scope,lat,lon,priority,measured_total_width_m,measured_effective_width_m,lanes_observed,obstruction_notes,measured_by,measured_date
junction,osm-junction-10216570896,Chembur Flyover × Eastern Express Highway,Chembur Flyover; Eastern Express Highway,trunk,bmc,19.062492,72.895023,-5.5,,,,,,
junction,osm-junction-10268111711,Eastern Express Highway × Ghatkopar Flyover,Eastern Express Highway; Ghatkopar Flyover,trunk,bmc,19.086702,72.923168,-5.5,,,,,,
junction,osm-junction-10820417298,Eastern Express Highway Flyover × Santa Cruz – Chembur Link Road Flyover Ramp,Eastern Express Highway Flyover; Santa Cruz – Chembur Link Road Flyover Ramp,trunk,bmc,19.07063,72.907068,-5.5,,,,,,
junction,osm-junction-1154003520,Sion Bandra Link Road × Western Express Highway,Sion Bandra Link Road; Western Express Highway,motorway,bmc,19.057976,72.846512,-5.5,,,,,,
junction,osm-junction-1154203404,Andheri Flyover × Western Express Highway,Andheri Flyover; Western Express Highway,motorway; trunk,bmc,19.120214,72.855786,-5.5,,,,,,
junction,osm-junction-1156163024,Western Express Highway,Western Express Highway,trunk,bmc,19.137724,72.854966,-5.5,,,,,,
junction,osm-junction-1157625205,Eastern Express Highway × Eastern Express Highway Flyover × Santa Cruz – Chembur Link Road Flyover,Eastern Express Highway; Eastern Express Highway Flyover; Santa Cruz – Chembur Link Road Flyover,trunk,bmc,19.068728,72.904151,-5.5,,,,,,
junction,osm-junction-1178623177,Asha Nagar Road × Mahindra Flyover × Western Express Highway,Asha Nagar Road; Mahindra Flyover; Western Express Highway,trunk; secondary,bmc,19.20336,72.863107,-5.5,,,,,,
junction,osm-junction-1179314485,Eastern Express Highway × King's Circle Flyover × Laxmibai Kelkar Marg,Eastern Express Highway; King's Circle Flyover; Laxmibai Kelkar Marg,trunk,bmc,19.030982,72.858135,-5.5,,,,,,
junction,osm-junction-1180378618,Western Express Highway,Western Express Highway,trunk; primary,bmc,19.227585,72.863354,-5.5,,,,,,
junction,osm-junction-1180382149,Sudheer Phadke Flyover × Western Express Highway,Sudheer Phadke Flyover; Western Express Highway,trunk; primary,bmc,19.236211,72.863244,-5.5,,,,,,
junction,osm-junction-12123666452,Western Express Highway,Western Express Highway,trunk,bmc,19.21602,72.867174,-5.5,,,,,,
junction,osm-junction-1232644427,Amar Mahal Junction Flyover × Eastern Express Highway,Amar Mahal Junction Flyover; Eastern Express Highway,trunk,bmc,19.067336,72.902118,-5.5,,,,,,
junction,osm-junction-1232644505,Amar Mahal Junction Flyover × Chembur Flyover × Eastern Express Highway,Amar Mahal Junction Flyover; Chembur Flyover; Eastern Express Highway,trunk,bmc,19.064303,72.89769,-5.5,,,,,,
junction,osm-junction-12378228208,Eastern Express Highway × Kanjurmarg Flyover × Vikhroli Flyover,Eastern Express Highway; Kanjurmarg Flyover; Vikhroli Flyover,trunk,bmc,19.113444,72.934216,-5.5,,,,,,
junction,osm-junction-12432945774,Western Express Highway,Western Express Highway,trunk,bmc,19.131017,72.855306,-5.5,,,,,,
junction,osm-junction-12558334192,Aarey Flyover × Western Express Highway,Aarey Flyover; Western Express Highway,trunk; secondary,bmc,19.168869,72.858788,-5.5,,,,,,
junction,osm-junction-12794348742,Eastern Express Highway,Eastern Express Highway,trunk,bmc,19.075596,72.91354,-5.5,,,,,,
junction,osm-junction-13077461203,Western Express Highway,Western Express Highway,motorway; trunk,bmc,19.08573,72.84541,-5.5,,,,,,
junction,osm-junction-1318654999,Dindoshi flyover × Western Express Highway,Dindoshi flyover; Western Express Highway,trunk,bmc,19.171598,72.859129,-5.5,,,,,,
junction,osm-junction-13363217261,Eastern Express Highway,Eastern Express Highway,trunk,bmc,19.172553,72.968291,-5.5,,,,,,
junction,osm-junction-13619693606,Western Express Highway,Western Express Highway,motorway,bmc,19.090071,72.843826,-5.5,,,,,,
junction,osm-junction-13734361088,Western Express Highway,Western Express Highway,trunk,bmc,19.128604,72.855378,-5.5,,,,,,
junction,osm-junction-13765867242,Times Of India Flyover × Western Express Highway,Times Of India Flyover; Western Express Highway,trunk,bmc,19.196846,72.860388,-5.5,,,,,,
junction,osm-junction-13877132374,Western Express Highway,Western Express Highway,trunk; secondary,bmc,19.14845,72.856415,-5.5,,,,,,
junction,osm-junction-13877484184,Aarey Flyover × Western Express Highway,Aarey Flyover; Western Express Highway,trunk; secondary,bmc,19.161184,72.857776,-5.5,,,,,,
junction,osm-junction-1448147562,Eastern Express Highway × Eastern Expressway,Eastern Express Highway; Eastern Expressway,trunk,bmc,19.157811,72.959124,-5.5,,,,,,
junction,osm-junction-1511525618,Western Express Highway,Western Express Highway,trunk; primary,bmc,19.242057,72.864169,-5.5,,,,,,
junction,osm-junction-1511529014,Western Express Highway,Western Express Highway,trunk; primary,bmc,19.246861,72.864858,-5.5,,,,,,
junction,osm-junction-1642951818,Eastern Express Highway × Sion Panvel Highway,Eastern Express Highway; Sion Panvel Highway,trunk,bmc,19.05386,72.883342,-5.5,,,,,,
junction,osm-junction-1642951846,C S M T Kurla Junction Flyover × C S T Kurla Junction Flyover × Eastern Express Highway,C S M T Kurla Junction Flyover; C S T Kurla Junction Flyover; Eastern Express Highway,trunk,bmc,19.054797,72.884865,-5.5,,,,,,
junction,osm-junction-1642951891,C S M T Kurla Junction Flyover × C S T Kurla Junction Flyover × Eastern Express Highway,C S M T Kurla Junction Flyover; C S T Kurla Junction Flyover; Eastern Express Highway,trunk,bmc,19.059019,72.890248,-5.5,,,,,,
junction,osm-junction-1646690973,Suhasini Pawaskar Road × Western Express Highway,Suhasini Pawaskar Road; Western Express Highway,trunk,bmc,19.254499,72.869555,-5.5,,,,,,
junction,osm-junction-1665625106,Eastern Express Highway × Ghatkopar - Mankhurd Link Road × Jeejabai Bhosale Marg,Eastern Express Highway; Ghatkopar - Mankhurd Link Road; Jeejabai Bhosale Marg; NH48,trunk,bmc,19.070615,72.907338,-5.5,,,,,,
